WMC, classe_BC, chemin, classe, classe_LOC, classe_CLOC, classe_DC
1, 0.21568628, C:\Users\Public\ift3913_tp4\src\CSV.java, CSV.java, 51, 11, 0.21568628
5, 0.044444446, C:\Users\Public\ift3913_tp4\src\Test.java, Test.java, 99, 22, 0.22222222
1, 0.21568628, C:\Users\Public\ift3913_tp4\src\CSV.java, CSV.java, 51, 11, 0.21568628
5, 0.04680851, C:\Users\Public\ift3913_tp4\src\Test.java, Test.java, 94, 22, 0.23404256
0, 0.0, C:\Users\Public\ift3913_tp4\src\Classe.java, Classe.java, 2, 0, 0.0
5, 0.047311828, C:\Users\Public\ift3913_tp4\src\Test.java, Test.java, 93, 22, 0.23655914
1, 0.32394367, C:\Users\Public\ift3913_tp4\src\Test.java, Test.java, 71, 23, 0.32394367
1, 0.32394367, C:\Users\Public\ift3913_tp4\src\Test.java, Test.java, 71, 23, 0.32394367
1, 0.4, C:\Users\Public\ift3913_tp4\src\Test.java, Test.java, 55, 22, 0.4
1, 0.4, C:\Users\Public\ift3913_tp4\src\Test.java, Test.java, 55, 22, 0.4
1, 0.4, C:\Users\Public\ift3913_tp4\src\Test.java, Test.java, 50, 20, 0.4
